== CamProbeV2RegionFull（OP-002 区域全 dump）==
time: 2026-09-06 00:26:33
件: C:\Users\21505\Code\nx-vibe-v2\samples\v2.rebuilt-20260906-000810.prt
打开 OK: v2.rebuilt-20260906-000810  camSession=True
== OP-002 存档: time=28.3736 length=39849.6843
regions=118  质心数=118 面积数=118
== 逐区（质心 x,y,z | 面积 | z 分层注记）==
  区[109] x=75 y=39.0242 z=78.0932 | 面积=1406.41
    -- z 变层: 78.0932 层区数=1 --
  区[110] x=75 y=39.0242 z=77.8941 | 面积=1406.41
    -- z 变层: 77.8941 层区数=1 --
  区[111] x=75 y=39.0242 z=77.6949 | 面积=1406.41
    -- z 变层: 77.6949 层区数=1 --
  区[112] x=75 y=39.0242 z=77.4958 | 面积=1406.41
    -- z 变层: 77.4958 层区数=1 --
  区[113] x=75 y=39.0242 z=77.2966 | 面积=1406.41
    -- z 变层: 77.2966 层区数=1 --
  区[114] x=75 y=39.0242 z=77.0975 | 面积=1406.41
    -- z 变层: 77.0975 层区数=1 --
  区[115] x=75 y=39.0242 z=76.8983 | 面积=1406.41
    -- z 变层: 76.8983 层区数=1 --
  区[116] x=75 y=39.0242 z=76.6992 | 面积=1406.41
    -- z 变层: 76.6992 层区数=1 --
  区[117] x=75 y=39.0242 z=76.5 | 面积=1406.41
    -- 末层 z=76.5 层区数=1 --
== 汇总: z 跨度 [76.5, 99.8008] 面积 [min=1406.41 max=1410.68 sum=166383.38] ==
== 结束（只读未 Save）==
== 结束 ==
